File Name,Sample ID,Path,Instrument Method,Process Method,Position,Inj Vol
blank_01,blank,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE8,0.2
CytocromeC_01,50 fm,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,BE7,0.4
CytocromeC_02,50 fm,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,BE7,1
CytocromeC_03,50 fm,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,BE7,1
CytocromeC_04,50 fm,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE7,0.4
CytocromeC_05,50 fm,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE7,0.4
CytocromeC_08,50 fm,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE7,0.5
11052022_Hela_01,200 ng,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA1,1
11052022_Hela_02,200 ng,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA1,1
11052022_Hela_03,500 ng,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA1,2.5
11052022_Hela_04,500 ng,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA1,2.5
QEHFX_JB_000239,TPP_59C_K1_1 ,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA2,0.5
QEHFX_JB_000240,TPP_59C_K1_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA2,1.5
QEHFX_JB_000241,TPP_59C_K2_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA3,1.5
QEHFX_JB_000242,TPP_59C_K3_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA4,1.5
QEHFX_JB_000243,TPP_59C_K4_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA5,1.5
QEHFX_JB_000244,TPP_59C_K5_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA6,1.5
blank_02,blank,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE8,0.2
QEHFX_JB_000245,TPP_59C_T1_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA7,1.5
QEHFX_JB_000246,TPP_59C_T2_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GA8,1.5
QEHFX_JB_000247,TPP_59C_T3_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB1,1.5
QEHFX_JB_000248,TPP_59C_T4_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB2,1.5
QEHFX_JB_000249,TPP_59C_T5_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB3,1.5
blank_03,blank,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE8,0.2
QEHFX_JB_000250,TPP_56C_K1_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB4,1.5
QEHFX_JB_000251,TPP_56C_K2_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB5,1.5
QEHFX_JB_000252,TPP_56C_K3_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB6,1.5
QEHFX_JB_000253,TPP_56C_K4_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB7,1.5
QEHFX_JB_000254,TPP_56C_K5_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GB8,1.5
blank_04,blank,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE8,0.2
QEHFX_JB_000255,TPP_56C_T1_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC1,1.5
QEHFX_JB_000256,TPP_56C_T2_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC2,1.5
QEHFX_JB_000257,TPP_56C_T3_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC3,1.5
QEHFX_JB_000258,TPP_56C_T4_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC4,1.5
QEHFX_JB_000259,TPP_56C_T5_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC5,1.5
blank_05,blank,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,RE8,0.2
QEHFX_JB_000260,TPP_53C_K1_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC6,1.5
QEHFX_JB_000261,TPP_53C_K2_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC7,1.5
QEHFX_JB_000262,TPP_53C_K3_1 1 ug,C:\Xcalibur\data\Julia,C:\Xcalibur\data\Zgoda\110522_JB\MS1_late_valve_swich_1e6_1ms,,GC8,1.5
